MODOPRIN,FE_VIA,CRITERIOBR
Carro,45.544085,C1
Outros,1.0,C1
Outros,1.0,C1
A pe,82.41636899999999,C1
A pe,82.41636899999999,C1
A pe,82.41636899999999,C1
A pe,82.41636899999999,C1
Outros,1.0,C1
A pe,68.021764,C1
A pe,68.021764,C1
Outros,1.0,C1
A pe,77.894926,C1
A pe,77.894926,C1
A pe,77.894926,C1
A pe,77.894926,C1
Outros,1.0,C1
A pe,177.07655400000002,C1
A pe,177.07655400000002,C1
Onibus,49.549616,B2
Metro,45.544085,B2
A pe,45.544085,B2
Metro,45.544085,B2
Metro,45.544085,B2
Onibus,43.269215,B2
Metro,39.771384000000005,B2
Metro,15.29771,C2
Metro,15.29771,C2
A pe,45.544085,C1
A pe,45.544085,C1
Metro,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Metro,45.544085,C1
Outros,1.0,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Outros,1.0,C1
Outros,1.0,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Onibus,43.269215,C1
Metro,39.771384000000005,C1
A pe,98.108106,C1
A pe,98.108106,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
Outros,1.0,C1
Metro,45.544085,C1
Carro,45.544085,C1
Onibus,16.643119,C1
Onibus,16.643119,C1
Metro,103.53421,C1
Metro,103.53421,C1
A pe,45.544085,C2
A pe,45.544085,C2
A pe,15.29771,D-E
A pe,15.29771,D-E
A pe,45.544085,B2
A pe,45.544085,B2
Onibus,16.643119,C2
Onibus,16.643119,C2
Metro,45.544085,C2
Metro,45.544085,C2
Outros,1.0,C2
Outros,1.0,B2
Outros,1.0,C1
A pe,45.544085,C2
A pe,45.544085,C2
Outros,1.0,C2
Outros,1.0,C2
A pe,103.53421,C2
A pe,103.53421,C2
A pe,45.544085,B2
A pe,45.544085,B2
A pe,45.544085,C1
A pe,45.544085,C1
Onibus,49.549616,C1
Onibus,49.549616,C1
A pe,39.771384000000005,C1
A pe,39.771384000000005,C1
Onibus,43.269215,C1
Onibus,43.269215,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Onibus,49.549616,C1
Carro,45.544085,C1
Carro,45.544085,C1
Carro,45.544085,C1
Carro,45.544085,C1
Carro,15.29771,C1
Outros,1.0,C1
Outros,1.0,C1
A pe,45.544085,C1
A pe,45.544085,C1
Onibus,52.425744,C1
A pe,48.18771,C1
A pe,48.18771,C1
Metro,48.18771,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Trem,59.332547,C1
Trem,59.332547,C1
Escolar,39.771384000000005,C1
Escolar,39.771384000000005,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,B2
A pe,45.544085,B2
A pe,45.544085,B2
A pe,45.544085,B2
A pe,45.544085,B2
A pe,45.544085,B2
A pe,45.544085,B2
A pe,39.771384000000005,B2
A pe,39.771384000000005,B2
A pe,39.771384000000005,B2
Metro,45.544085,C1
Metro,45.544085,C1
Moto,45.544085,C1
Moto,45.544085,C1
Metro,94.402477,B2
A pe,94.402477,B2
A pe,94.402477,B2
Metro,94.402477,B2
Onibus,102.705027,B2
A pe,94.402477,B2
A pe,94.402477,B2
Onibus,102.705027,B2
Outros,1.0,B2
A pe,99.882108,C1
A pe,99.882108,C1
Outros,1.0,C1
A pe,94.402477,C1
A pe,94.402477,C1
Onibus,102.705027,B1
Onibus,102.705027,B1
Onibus,102.705027,B1
Onibus,102.705027,B1
Onibus,89.687191,B1
Onibus,89.687191,B1
Onibus,89.687191,B1
Onibus,89.687191,B1
A pe,99.882108,B1
A pe,99.882108,B1
A pe,99.882108,B1
A pe,99.882108,B1
Metro,31.708655,B1
Metro,31.708655,B1
Outros,1.0,B1
Outros,1.0,B1
Outros,1.0,B2
Metro,99.882108,B2
Metro,99.882108,B2
A pe,94.402477,C2
A pe,94.402477,C2
A pe,94.402477,C2
Onibus,108.666582,C2
Taxi,99.882108,C2
Taxi,99.882108,C2
Onibus,221.24049,C2
Taxi,203.355678,C2
Taxi,203.355678,C2
Taxi,94.402477,C2
Taxi,94.402477,C2
A pe,94.402477,B2
A pe,94.402477,B2
Metro,94.402477,C2
Metro,94.402477,C2
Metro,31.708655,C2
Metro,31.708655,C2
Onibus,102.705027,D-E
Onibus,102.705027,D-E
Outros,1.0,C1
Bike,45.993065,C2
Bike,45.993065,C2
Bike,45.993065,C2
Bike,45.993065,C2
Bike,45.993065,C2
Bike,45.993065,C2
Bike,45.993065,C2
Bike,45.993065,C2
Bike,119.573967,C2
Bike,119.573967,C2
Bike,119.573967,C2
Bike,119.573967,C2
Bike,119.573967,C2
Bike,119.573967,C2
Outros,1.0,C2
A pe,82.436987,C2
A pe,82.436987,C2
A pe,82.436987,C2
A pe,82.436987,C2
A pe,82.436987,C2
A pe,82.436987,C2
A pe,31.708655,B2
Taxi,31.708655,B2
A pe,94.402477,B2
Taxi,94.402477,B2
Taxi,31.708655,C1
Outros,1.0,C1
A pe,94.402477,C1
A pe,94.402477,C1
Outros,1.0,B2
Metro,77.894926,B2
Metro,77.894926,B2
Outros,1.0,B2
A pe,77.894926,C1
A pe,77.894926,C1
Outros,1.0,C1
Outros,1.0,C1
Metro,82.41636899999999,B2
Metro,82.41636899999999,B2
A pe,82.41636899999999,B2
A pe,82.41636899999999,B2
A pe,82.41636899999999,B2
Metro,82.41636899999999,B2
Outros,1.0,ND
Outros,1.0,D-E
Outros,1.0,C2
Outros,1.0,C2
Outros,1.0,C2
Outros,1.0,C2
Outros,1.0,C2
Outros,1.0,B2
Outros,1.0,C2
Outros,1.0,ND
Metro,156.32027,ND
Metro,156.32027,ND
Outros,1.0,B2
Outros,1.0,D-E
Outros,1.0,ND
Outros,1.0,ND
Onibus,169.826993,C1
A pe,156.098385,C1
Outros,1.0,C1
Outros,1.0,C1
Onibus,169.826993,C2
Onibus,169.826993,C2
A pe,405.548363,B2
A pe,405.548363,B2
Carro,87.49355,B2
Carro,87.49355,B2
Moto,90.01394,B2
Moto,90.01394,B2
Moto,90.01394,B2
Moto,90.01394,B2
Carro,90.01394,B2
Carro,90.01394,B2
Carro,149.758994,B2
Moto,149.758994,B2
A pe,90.14189,C2
A pe,90.14189,C2
A pe,68.231175,C2
A pe,68.231175,C2
A pe,156.098385,D-E
A pe,156.098385,D-E
A pe,156.098385,D-E
A pe,156.098385,D-E
Onibus,128.730008,D-E
Onibus,128.730008,D-E
A pe,259.705742,D-E
A pe,259.705742,D-E
A pe,259.705742,D-E
A pe,259.705742,D-E
A pe,259.705742,D-E
A pe,259.705742,D-E
A pe,243.798168,D-E
A pe,243.798168,D-E
A pe,243.798168,D-E
A pe,243.798168,D-E
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,118.32363,C2
A pe,118.32363,C2
Outros,1.0,C2
A pe,243.798168,C2
A pe,243.798168,C2
Outros,1.0,C2
Outros,1.0,C2
A pe,156.098385,C2
A pe,156.098385,C2
Metro,156.098385,B2
Metro,156.098385,B2
Metro,156.098385,B2
Metro,156.098385,B2
A pe,156.098385,B2
Metro,156.32027,B2
A pe,156.32027,B2
A pe,156.32027,B2
Metro,156.32027,B2
Metro,156.32027,B2
Metro,156.32027,B2
Outros,1.0,A
Outros,1.0,A
A pe,156.098385,C1
A pe,156.098385,C1
Onibus,169.826993,C1
Onibus,169.826993,C1
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,243.798168,C2
Escolar,243.798168,C2
Escolar,243.798168,C2
A pe,156.098385,D-E
A pe,156.098385,D-E
A pe,156.098385,D-E
A pe,156.098385,D-E
Metro,156.098385,C2
Metro,156.098385,C2
Onibus,170.068392,C2
Onibus,170.068392,C2
Carro,135.393191,C1
Carro,135.393191,C1
Carro,135.393191,C1
Outros,1.0,C1
Outros,1.0,C2
