MODOPRIN,FE_VIA,CRITERIOBR
Carro,341.380127,D-E
Onibus,394.283031,C2
Onibus,394.283031,C2
A pe,362.409669,C2
A pe,362.409669,C2
Onibus,394.283031,C1
Onibus,394.283031,C1
Escolar,401.907842,C1
Escolar,401.907842,C1
A pe,260.794885,B2
A pe,260.794885,B2
Onibus,394.283031,B2
Onibus,394.283031,B2
A pe,362.409669,B2
A pe,362.409669,B2
Metro,362.409669,B2
Metro,362.409669,B2
Metro,261.040432,C2
Metro,261.040432,C2
Onibus,204.369171,B2
Onibus,204.369171,B2
Carro,261.040432,B2
A pe,261.040432,B2
A pe,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,C1
Carro,261.040432,C1
Onibus,267.518949,C1
A pe,245.893041,C1
A pe,245.893041,C1
Onibus,267.518949,C1
A pe,203.508432,C1
A pe,203.508432,C1
A pe,187.848215,C1
A pe,187.848215,C1
A pe,187.848215,C1
A pe,187.848215,C1
Onibus,204.369171,C1
Onibus,204.369171,C1
Onibus,204.369171,B1
Onibus,204.369171,B1
Onibus,283.998528,B1
Onibus,283.998528,B1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
A pe,289.490611,C1
Taxi,289.490611,C1
Carro,203.508432,C1
Carro,203.508432,C1
Escolar,203.508432,C1
Carro,203.508432,C1
Carro,203.508432,C1
Carro,203.508432,C1
Carro,203.508432,C1
Escolar,203.508432,C1
Onibus,204.369171,B2
Onibus,204.369171,B2
Onibus,204.369171,B2
Onibus,204.369171,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Onibus,283.998528,B2
Onibus,283.998528,B2
Carro,187.848215,C1
Carro,187.848215,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,245.893041,B2
Carro,245.893041,B2
A pe,245.893041,B2
A pe,245.893041,B2
Carro,343.095774,B2
A pe,343.095774,B2
Outros,1.0,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,343.095774,B2
Carro,343.095774,B2
A pe,203.508432,B2
A pe,203.508432,B2
Onibus,283.998528,C1
Onibus,283.998528,C1
Carro,245.893041,C1
Metro,245.893041,C1
Carro,261.040432,C1
Carro,261.040432,C1
Onibus,78.178609,B2
Onibus,78.178609,B2
Onibus,78.178609,B2
Onibus,78.178609,B2
Outros,1.0,B2
Carro,99.857419,B2
Carro,99.857419,B2
Outros,1.0,B2
Outros,1.0,B2
A pe,77.306003,B2
A pe,77.306003,B2
Onibus,89.285939,C1
Onibus,89.285939,C1
Outros,1.0,C1
Onibus,84.104945,C1
Onibus,84.104945,C1
A pe,82.068172,C1
A pe,82.068172,C1
Outros,1.0,C1
Outros,1.0,C1
Outros,1.0,C1
Carro,362.409669,C1
Carro,362.409669,C1
Outros,1.0,C1
A pe,282.536398,C1
A pe,282.536398,C1
Outros,1.0,C1
A pe,282.536398,C1
A pe,282.536398,C1
Carro,260.794885,B1
Carro,260.794885,B1
Carro,362.409669,B1
Carro,362.409669,B1
Onibus,283.731386,C2
Onibus,283.731386,C2
Onibus,394.283031,C2
Onibus,394.283031,C2
A pe,401.907842,C2
A pe,401.907842,C2
Onibus,437.255005,C2
Onibus,437.255005,C2
Onibus,371.403973,C2
Onibus,371.403973,C2
Onibus,394.283031,C2
Onibus,394.283031,C2
Carro,362.409669,C1
Carro,362.409669,C1
Metro,341.380127,C1
Metro,341.380127,C1
A pe,282.536398,C1
A pe,282.536398,C1
Carro,362.409669,C1
Onibus,394.283031,C1
Metro,341.380127,C1
Metro,341.380127,C1
Metro,341.380127,C1
Onibus,283.731386,C1
Onibus,283.731386,C1
A pe,362.409669,C1
A pe,362.409669,C1
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,261.040432,B2
Carro,245.893041,B2
Onibus,267.518949,B2
Carro,187.848215,A
Carro,187.848215,A
Carro,187.848215,B2
Carro,187.848215,B2
Carro,187.848215,B2
Carro,187.848215,B2
Metro,261.040432,B2
Metro,261.040432,B2
A pe,187.848215,C2
A pe,187.848215,C2
Carro,261.040432,C1
Carro,261.040432,C1
Carro,261.040432,C1
Onibus,221.406679,C1
Onibus,221.406679,C1
Metro,245.893041,C1
Metro,245.893041,C1
Onibus,204.369171,C2
Onibus,204.369171,C2
A pe,261.040432,C2
A pe,261.040432,C2
A pe,289.490611,C2
A pe,289.490611,C2
Onibus,204.369171,C1
Onibus,204.369171,C1
A pe,261.040432,C1
A pe,261.040432,C1
A pe,187.848215,C2
A pe,187.848215,C2
Carro,187.848215,C2
Carro,187.848215,C2
Onibus,204.369171,C2
Onibus,204.369171,C2
Carro,187.848215,C2
Carro,187.848215,C2
A pe,261.040432,C2
A pe,261.040432,C2
Onibus,283.998528,C2
Onibus,283.998528,C2
Outros,1.0,C2
Onibus,283.998528,D-E
Onibus,283.998528,D-E
A pe,261.040432,D-E
A pe,261.040432,D-E
A pe,261.040432,D-E
A pe,261.040432,D-E
Onibus,267.518949,D-E
Onibus,267.518949,D-E
Onibus,267.518949,D-E
Escolar,203.508432,D-E
Escolar,203.508432,D-E
A pe,203.508432,D-E
A pe,203.508432,D-E
A pe,261.040432,C1
A pe,261.040432,C1
A pe,289.490611,C1
A pe,289.490611,C1
Carro,261.040432,C1
Carro,261.040432,C1
Outros,1.0,C1
A pe,261.040432,C1
A pe,261.040432,C1
Onibus,283.998528,C1
Onibus,283.998528,C1
A pe,261.040432,C1
A pe,261.040432,C1
A pe,261.040432,C1
A pe,261.040432,C1
Onibus,221.406679,C1
Onibus,221.406679,C1
A pe,203.508432,C1
A pe,203.508432,C1
Onibus,283.998528,C1
Onibus,283.998528,C1
Carro,99.857419,B2
Carro,99.857419,B2
Onibus,102.335686,B2
Carro,94.062994,B2
Metro,71.858746,B2
Metro,71.858746,B2
Outros,1.0,B2
Outros,1.0,B2
Outros,1.0,B2
Carro,94.062994,B2
A pe,94.062994,B2
A pe,94.062994,B2
Carro,94.062994,B2
Carro,99.857419,B1
Carro,99.857419,B1
Carro,99.857419,B1
Carro,99.857419,B1
Carro,99.857419,B1
Taxi,99.857419,A
Taxi,99.857419,A
Taxi,99.857419,A
Metro,99.857419,A
Metro,99.857419,A
Metro,99.857419,A
Metro,94.062994,A
Metro,94.062994,A
Metro,78.927813,C2
Onibus,85.86939100000001,C2
A pe,78.927813,C2
A pe,78.927813,C2
A pe,78.927813,C2
Onibus,85.86939100000001,C2
Onibus,85.86939100000001,C2
A pe,130.404626,C2
A pe,130.404626,C2
Outros,1.0,C1
Outros,1.0,C1
Bike,97.108328,C1
Bike,97.108328,C1
A pe,114.541219,C1
A pe,114.541219,C1
Onibus,124.61494,C1
Onibus,124.61494,C1
Onibus,133.148984,C1
Onibus,133.148984,C1
Onibus,85.86939100000001,C1
Onibus,85.86939100000001,C1
A pe,78.927813,C1
A pe,78.927813,C1
A pe,78.927813,C1
A pe,78.927813,C1
Onibus,124.61494,C1
Onibus,124.61494,C1
A pe,114.541219,C1
A pe,114.541219,C1
Outros,1.0,D-E
Onibus,85.86939100000001,D-E
Onibus,85.86939100000001,D-E
A pe,78.927813,D-E
A pe,78.927813,D-E
Onibus,303.874008,B2
Onibus,303.874008,B2
A pe,279.309202,B2
A pe,279.309202,B2
A pe,279.309202,B2
A pe,279.309202,B2
Onibus,303.874008,B2
Onibus,303.874008,B2
A pe,405.337677,B2
A pe,405.337677,B2
Onibus,440.986489,B2
Onibus,440.986489,B2
Carro,279.309202,B2
Carro,279.309202,B2
Carro,279.309202,B2
Carro,279.309202,B2
Carro,279.309202,B2
Carro,279.309202,B2
A pe,279.309202,B2
A pe,279.309202,B2
A pe,433.0965440000001,B2
Onibus,471.186705,B2
Escolar,461.474992,B2
A pe,461.474992,B2
Onibus,130.350652,C1
Onibus,130.350652,C1
Carro,279.309202,C1
Carro,279.309202,C1
Carro,279.309202,B1
Carro,279.309202,B1
Carro,279.309202,B1
Carro,279.309202,B1
Carro,279.309202,B1
Carro,279.309202,B1
Carro,279.309202,B1
Carro,279.309202,B1
Onibus,303.874008,B1
Onibus,303.874008,B1
Onibus,303.874008,B1
Carro,405.337677,B1
Carro,405.337677,B1
Carro,405.337677,B1
Carro,405.337677,B1
Onibus,440.986489,B1
Carro,405.337677,B1
Outros,1.0,C1
Outros,1.0,C1
Outros,1.0,C1
Taxi,359.683017,B2
Taxi,359.683017,B2
A pe,359.683017,C2
A pe,359.683017,C2
Onibus,912.2389,C2
Onibus,912.2389,C2
Outros,1.0,C2
A pe,359.683017,B1
A pe,359.683017,B1
Outros,1.0,B1
Carro,838.4946150000001,B1
Carro,838.4946150000001,B1
Carro,838.4946150000001,B1
Carro,838.4946150000001,B1
A pe,359.683017,C1
A pe,359.683017,C1
A pe,838.4946150000001,C1
A pe,838.4946150000001,C1
Carro,838.4946150000001,C1
Carro,838.4946150000001,C1
Outros,1.0,C2
Carro,838.4946150000001,C2
A pe,838.4946150000001,C2
A pe,838.4946150000001,C2
Carro,838.4946150000001,C2
Onibus,912.2389,C2
Onibus,912.2389,C2
A pe,838.4946150000001,B2
Onibus,912.2389,B2
Onibus,912.2389,B2
A pe,838.4946150000001,B2
A pe,1300.168838,B2
A pe,1300.168838,B2
Metro,1300.168838,B2
Metro,1300.168838,B2
Onibus,773.785283,B2
Onibus,773.785283,B2
Outros,1.0,B2
A pe,1385.361792,B2
A pe,1385.361792,B2
Onibus,347.948586,C2
Onibus,347.948586,C2
Carro,137.191252,B2
Carro,137.191252,B2
Carro,319.820845,B2
Carro,319.820845,B2
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Outros,1.0,B2
A pe,319.820845,B2
A pe,319.820845,B2
A pe,319.820845,B2
A pe,319.820845,B2
Onibus,347.948586,A
Metro,319.820845,A
Metro,319.820845,A
A pe,495.913853,A
A pe,495.913853,A
A pe,495.913853,A
A pe,495.913853,A
Carro,464.128776,A
Carro,464.128776,A
Carro,137.191252,C1
Carro,137.191252,C1
Carro,137.191252,C1
Carro,137.191252,C1
Onibus,149.25700700000002,C1
Onibus,149.25700700000002,C1
Onibus,149.25700700000002,C1
Carro,137.191252,C1
Carro,137.191252,C1
A pe,137.191252,C1
A pe,137.191252,C1
Carro,495.913853,C1
Carro,495.913853,C1
Bike,393.489521,C1
Bike,393.489521,C1
Bike,393.489521,C1
Bike,393.489521,C1
Bike,393.489521,C1
Moto,319.820845,C1
Moto,319.820845,C1
Moto,319.820845,C1
Moto,319.820845,C1
A pe,319.820845,C2
A pe,319.820845,C2
A pe,319.820845,C2
A pe,319.820845,C2
Onibus,347.948586,C2
Onibus,347.948586,C2
Escolar,528.408377,C2
Escolar,528.408377,C2
A pe,319.820845,C1
A pe,319.820845,C1
Outros,1.0,C2
A pe,319.820845,C2
A pe,319.820845,C2
Onibus,539.5286980000001,C2
Onibus,539.5286980000001,C2
Onibus,130.350652,B2
Onibus,130.350652,B2
Carro,359.683017,B2
Carro,359.683017,B2
Outros,1.0,B2
Carro,359.683017,B2
Carro,359.683017,B2
Carro,359.683017,B2
Metro,359.683017,B2
Onibus,391.316574,C1
Onibus,391.316574,C1
Outros,1.0,C1
Carro,838.4946150000001,B2
Carro,838.4946150000001,B2
Carro,838.4946150000001,B2
Carro,838.4946150000001,B2
A pe,838.4946150000001,B2
Carro,838.4946150000001,B2
Onibus,912.2389,B2
Onibus,912.2389,B2
Escolar,1216.835883,B2
Escolar,1216.835883,B2
Carro,838.4946150000001,B2
Carro,838.4946150000001,B2
Onibus,391.316574,C2
Onibus,391.316574,C2
Onibus,912.2389,C2
Onibus,912.2389,C2
Onibus,912.2389,C2
Onibus,912.2389,C2
Onibus,912.2389,B2
Onibus,912.2389,B2
Onibus,1414.516646,B2
Onibus,1414.516646,B2
A pe,1300.168838,B2
A pe,1300.168838,B2
A pe,711.23342,B2
A pe,711.23342,B2
A pe,1216.835883,B2
A pe,1216.835883,B2
Carro,1300.168838,B2
Carro,1300.168838,B2
Outros,1.0,B2
Outros,1.0,B2
Outros,1.0,B2
Carro,319.820845,B2
Carro,319.820845,B2
Metro,137.191252,B2
Metro,137.191252,B2
Carro,319.820845,B2
Carro,319.820845,B2
Carro,319.820845,B2
Carro,319.820845,B2
Moto,319.820845,B2
Moto,319.820845,B2
Onibus,149.25700700000002,B2
Metro,137.191252,B2
A pe,319.820845,A
A pe,319.820845,A
Outros,1.0,A
Outros,1.0,A
A pe,319.820845,A
A pe,319.820845,A
A pe,319.820845,A
A pe,319.820845,A
Carro,319.820845,A
Carro,319.820845,A
Outros,1.0,A
A pe,464.128776,A
A pe,464.128776,A
Onibus,347.948586,A
Onibus,347.948586,A
Onibus,347.948586,A
Onibus,347.948586,A
Carro,137.191252,C1
Carro,137.191252,C1
Carro,137.191252,C1
Carro,137.191252,C1
Carro,137.191252,C1
Outros,1.0,C1
Carro,319.820845,B2
A pe,319.820845,B2
A pe,319.820845,B2
Carro,319.820845,B2
Carro,495.913853,B2
Carro,495.913853,B2
Escolar,464.128776,B2
Escolar,464.128776,B2
A pe,137.191252,B2
A pe,137.191252,B2
A pe,319.820845,B2
A pe,319.820845,B2
A pe,319.820845,B2
A pe,319.820845,B2
Onibus,347.948586,B2
Onibus,347.948586,B2
Outros,1.0,B2
Onibus,347.948586,B1
Onibus,347.948586,B1
Outros,1.0,B1
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Carro,319.820845,B1
Onibus,295.13923900000003,B1
Onibus,295.13923900000003,B1
Carro,464.128776,B1
Carro,464.128776,B1
Carro,319.820845,B2
A pe,319.820845,B2
A pe,319.820845,B2
Carro,319.820845,B2
A pe,464.128776,B2
A pe,464.128776,B2
A pe,271.280541,B2
A pe,271.280541,B2
Onibus,539.5286980000001,B1
Onibus,539.5286980000001,B1
Metro,319.820845,B1
Metro,319.820845,B1
Onibus,347.948586,B2
Onibus,347.948586,B2
Carro,319.820845,B2
Carro,319.820845,B2
Trem,610.60864,B2
Trem,610.60864,B2
Onibus,295.13923900000003,B2
Onibus,295.13923900000003,B2
Metro,271.280541,B2
Taxi,137.191252,C1
Taxi,137.191252,C1
Outros,1.0,C1
Onibus,295.13923900000003,C1
Onibus,295.13923900000003,C1
A pe,319.820845,C1
A pe,319.820845,C1
Outros,1.0,B2
Carro,45.969766,B2
Onibus,50.012735,B2
Carro,107.164919,B2
Carro,107.164919,B2
Carro,107.164919,B2
Onibus,116.589905,A
Taxi,107.164919,A
Carro,107.164919,A
Carro,107.164919,A
Onibus,180.78418,A
Onibus,180.78418,A
Carro,166.16980700000002,A
Carro,166.16980700000002,A
Carro,107.164919,A
Carro,107.164919,A
Carro,107.164919,A
Carro,107.164919,A
Carro,107.164919,A
Carro,107.164919,A
Escolar,90.900133,A
Escolar,90.900133,A
Escolar,155.519328,A
Escolar,155.519328,A
Carro,107.164919,B2
Carro,107.164919,B2
Carro,107.164919,B2
Carro,107.164919,B2
Carro,155.519328,B2
Escolar,155.519328,B2
Escolar,155.519328,B2
Carro,155.519328,B2
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,155.519328,B1
Carro,155.519328,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Carro,107.164919,B1
Outros,1.0,A
Carro,38.300059000000005,A
Carro,38.300059000000005,A
Carro,38.300059000000005,B1
Carro,38.300059000000005,B1
A pe,38.300059000000005,B1
A pe,38.300059000000005,B1
Outros,1.0,B1
Carro,9.512559,B2
Carro,9.512559,B2
Metro,9.512559,B2
Metro,9.512559,B2
A pe,11.935025,B2
A pe,11.935025,B2
Metro,10.934888,B2
Metro,10.934888,B2
Metro,10.934888,B2
Metro,9.512559,B2
Metro,9.512559,B2
Metro,9.512559,B2
Outros,1.0,B2
Metro,9.512559,A
Metro,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
A pe,35.835881,A
A pe,35.835881,A
A pe,35.835881,A
Carro,35.835881,A
Carro,35.835881,A
Carro,35.835881,A
Outros,1.0,A
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,21.605048,B2
A pe,21.605048,B2
A pe,21.605048,B2
A pe,21.605048,B2
Metro,11.935025,B2
Metro,11.935025,B2
A pe,9.512559,C1
A pe,9.512559,C1
A pe,9.512559,C1
A pe,9.512559,C1
A pe,38.300059000000005,B2
A pe,38.300059000000005,B2
A pe,38.300059000000005,B2
A pe,38.300059000000005,B2
A pe,38.300059000000005,B2
A pe,38.300059000000005,B2
Outros,1.0,C1
A pe,38.300059000000005,C1
A pe,38.300059000000005,C1
Carro,38.300059000000005,B2
Carro,38.300059000000005,B2
Carro,38.300059000000005,B2
Carro,38.300059000000005,B2
Onibus,41.668489,B2
Onibus,41.668489,B2
Metro,38.300059000000005,B2
A pe,38.300059000000005,B2
A pe,38.300059000000005,B2
Metro,38.300059000000005,B2
Metro,38.300059000000005,C1
Metro,38.300059000000005,C1
Outros,1.0,C2
A pe,52.202178,C2
A pe,52.202178,C2
Carro,38.300059000000005,B1
Carro,38.300059000000005,B1
A pe,48.053544,B1
A pe,48.053544,B1
A pe,44.026727,B1
A pe,44.026727,B1
A pe,44.026727,B1
A pe,44.026727,B1
Outros,1.0,C1
Outros,1.0,C1
A pe,9.512559,C1
A pe,9.512559,C1
A pe,11.935025,C1
A pe,11.935025,C1
Onibus,10.349174,C1
Onibus,10.349174,C1
A pe,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
A pe,12.965419,D-E
A pe,12.965419,D-E
Onibus,10.349174,D-E
Onibus,10.349174,D-E
Metro,9.512559,B2
Metro,9.512559,B2
Metro,9.512559,B2
Metro,9.512559,B2
Outros,1.0,B2
Carro,11.935025,B2
Carro,11.935025,B2
A pe,9.512559,B2
A pe,9.512559,B2
Outros,1.0,B2
Carro,9.512559,B2
Carro,9.512559,B2
Fretado,9.512559,B2
Fretado,9.512559,B2
Carro,9.512559,B2
Carro,9.512559,B2
Outros,1.0,A
A pe,12.965419,A
A pe,12.965419,A
A pe,12.965419,A
A pe,12.965419,A
A pe,35.835881,A
A pe,35.835881,A
A pe,11.935025,A
A pe,11.935025,A
A pe,11.935025,A
A pe,11.935025,A
Carro,11.935025,A
Carro,11.935025,A
A pe,10.934888,A
A pe,10.934888,A
A pe,10.934888,A
A pe,10.934888,A
Carro,9.512559,C1
Carro,9.512559,C1
Carro,11.935025,C1
Carro,11.935025,C1
Carro,11.935025,C1
Carro,11.935025,C1
Metro,11.935025,C1
Metro,9.512559,B1
Metro,9.512559,B1
Carro,9.512559,B1
Carro,9.512559,B1
Carro,9.512559,B1
Carro,9.512559,B1
Carro,21.605048,B1
Carro,21.605048,B1
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
Metro,9.512559,B2
Metro,9.512559,B2
Outros,1.0,B2
Outros,1.0,B2
Metro,9.512559,B2
Metro,9.512559,B2
Metro,11.935025,B2
Metro,11.935025,B2
Metro,9.512559,B2
Metro,9.512559,B2
Carro,9.512559,B2
Carro,9.512559,B2
Carro,9.512559,B2
Carro,9.512559,B2
Onibus,10.349174,B2
Onibus,10.349174,B2
Outros,1.0,B2
Outros,1.0,C1
Onibus,10.349174,B2
Onibus,10.349174,B2
A pe,9.512559,B2
A pe,9.512559,B2
A pe,9.512559,B2
A pe,9.512559,B2
Outros,1.0,B2
Metro,11.935025,A
Metro,11.935025,A
Carro,12.965419,A
Carro,12.965419,A
Carro,12.965419,A
Carro,12.965419,A
Carro,12.965419,A
Carro,12.965419,A
Metro,9.512559,B2
Metro,9.512559,B2
Carro,9.512559,C2
Carro,9.512559,C2
Onibus,10.349174,B2
Onibus,10.349174,B2
Onibus,10.349174,B2
Onibus,10.349174,B2
Onibus,10.349174,B2
Onibus,10.349174,B2
Outros,1.0,B2
Metro,9.512559,B2
Metro,9.512559,B2
Onibus,10.349174,B2
Onibus,10.349174,B2
A pe,11.935025,B2
A pe,11.935025,B2
Carro,11.935025,B2
Carro,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
A pe,21.605048,B2
A pe,21.605048,B2
Carro,9.512559,B1
A pe,9.512559,B1
A pe,9.512559,B1
Carro,9.512559,B1
Metro,9.512559,B1
Metro,9.512559,B1
Outros,1.0,B1
Metro,11.935025,B2
Metro,11.935025,B2
Metro,9.512559,B2
Metro,9.512559,B2
Carro,9.512559,B2
Carro,9.512559,B2
A pe,9.512559,B2
A pe,9.512559,B2
A pe,9.512559,B2
A pe,9.512559,B2
Carro,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
Carro,9.512559,A
Metro,9.512559,A
Onibus,10.349174,A
Metro,9.512559,A
Metro,9.512559,A
Metro,9.512559,A
Metro,9.512559,A
Metro,9.512559,A
Metro,9.512559,A
Metro,9.512559,A
Carro,9.512559,B2
Carro,9.512559,B2
Metro,9.512559,B2
Metro,9.512559,B2
Metro,11.935025,B2
Metro,11.935025,B2
A pe,35.835881,B2
A pe,35.835881,B2
Carro,9.512559,B2
Carro,9.512559,B2
Outros,1.0,B2
A pe,10.934888,B2
A pe,10.934888,B2
Carro,9.512559,B1
A pe,9.512559,B1
A pe,9.512559,B1
Carro,9.512559,B1
Onibus,6.67732,B1
Onibus,6.67732,B1
Onibus,12.984692,B2
Onibus,12.984692,B2
Onibus,12.984692,B2
Metro,9.512559,B1
Metro,9.512559,B1
Metro,9.512559,B1
Metro,9.512559,B1
A pe,12.965419,B2
A pe,12.965419,B2
Outros,1.0,B1
Outros,1.0,B1
Metro,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
Metro,9.512559,A
Metro,9.512559,A
A pe,9.512559,A
A pe,9.512559,A
Metro,9.512559,A
Metro,10.934888,A
Metro,10.934888,A
Carro,35.835881,A
Escolar,35.835881,A
Carro,9.512559,B2
Carro,9.512559,B2
Outros,1.0,B2
Metro,9.512559,B2
Metro,9.512559,B2
Metro,11.935025,B2
A pe,11.935025,B2
A pe,11.935025,B2
Metro,11.935025,B2
Outros,1.0,B2
Outros,1.0,B2
Onibus,49.134159,B2
Metro,45.162214,B2
Onibus,49.134159,B2
Metro,45.162214,B2
A pe,40.927488,B2
A pe,40.927488,B2
Metro,45.162214,C1
Metro,45.162214,C1
Metro,28.032207,ND
Taxi,28.032207,ND
Outros,1.0,ND
A pe,51.499176,ND
A pe,51.499176,ND
Carro,28.032207,ND
Carro,28.032207,ND
Metro,45.162214,C1
Metro,45.162214,C1
Metro,45.162214,B2
A pe,45.162214,B2
A pe,45.162214,B2
Metro,45.162214,B2
Metro,40.927488,B2
Metro,40.927488,B2
Outros,1.0,B1
Outros,1.0,B1
Outros,1.0,B1
A pe,45.162214,B1
A pe,45.162214,B1
A pe,45.162214,B1
A pe,45.162214,B1
Metro,45.162214,C2
Metro,45.162214,C2
Onibus,49.134159,C2
Metro,45.162214,B2
Metro,45.162214,B2
Outros,1.0,B2
Outros,1.0,B2
Outros,1.0,B2
Outros,1.0,B2
Metro,21.921059,B2
Metro,21.921059,B2
A pe,21.921059,B2
A pe,21.921059,B2
Carro,21.921059,B2
Carro,21.921059,B2
A pe,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
A pe,40.272122,B2
A pe,40.272122,B2
Metro,40.272122,B2
Metro,40.272122,B2
A pe,35.316646,B1
A pe,35.316646,B1
Onibus,23.848981,B2
Onibus,23.848981,B2
Metro,21.921059,B2
Onibus,23.848981,B2
Carro,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
Carro,35.316646,B2
Outros,1.0,B2
Metro,35.316646,B2
Metro,35.316646,B2
Outros,1.0,B2
Carro,35.316646,B1
Carro,35.316646,B1
Carro,35.316646,A
Carro,35.316646,A
Carro,35.316646,A
A pe,35.316646,A
A pe,35.316646,A
Carro,35.316646,A
Metro,32.005109999999995,A
Metro,32.005109999999995,A
Outros,1.0,A
Metro,35.316646,A
Metro,35.316646,A
Outros,1.0,A
Outros,1.0,A
Outros,1.0,A
Outros,1.0,A
Metro,32.005109999999995,A
Metro,32.005109999999995,A
Metro,32.005109999999995,A
Outros,1.0,B2
Outros,1.0,B2
Outros,1.0,B2
A pe,35.316646,B2
A pe,35.316646,B2
Metro,32.005109999999995,B2
A pe,32.005109999999995,B2
A pe,32.005109999999995,B2
Metro,32.005109999999995,B2
Onibus,38.42269,B2
A pe,35.316646,B2
A pe,35.316646,B2
Metro,35.316646,B2
Metro,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
Metro,35.316646,B2
Carro,21.921059,B1
Carro,21.921059,B1
Carro,21.921059,B1
Carro,21.921059,B1
A pe,35.316646,A
A pe,35.316646,A
Carro,35.316646,A
Carro,35.316646,A
Moto,35.316646,A
Moto,35.316646,A
Moto,35.316646,A
Moto,35.316646,A
Outros,1.0,A
Carro,40.272122,A
A pe,40.272122,A
A pe,35.316646,C1
A pe,35.316646,C1
Metro,35.316646,B2
Metro,35.316646,B2
Onibus,34.819909,B2
A pe,32.005109999999995,B2
A pe,32.005109999999995,B2
Onibus,34.819909,B2
Metro,21.921059,B2
Metro,21.921059,B2
Outros,1.0,B2
Metro,35.316646,B2
Onibus,38.42269,B2
A pe,35.316646,B2
A pe,35.316646,B2
Onibus,23.848981,C2
Onibus,23.848981,C2
Onibus,38.42269,B2
Onibus,38.42269,B2
Metro,35.316646,A
Metro,35.316646,A
Metro,21.921059,A
Metro,21.921059,A
Taxi,21.921059,B2
Metro,21.921059,B2
Carro,21.921059,B2
A pe,35.316646,C1
A pe,35.316646,C1
Outros,1.0,C1
Metro,35.316646,A
Metro,35.316646,A
Carro,35.316646,B1
Carro,35.316646,B1
Outros,1.0,B1
Metro,32.005109999999995,B1
Metro,32.005109999999995,B1
Metro,40.272122,B1
Metro,40.272122,B1
Metro,35.316646,B2
Metro,35.316646,B2
Carro,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
Carro,35.316646,B2
Metro,35.316646,B2
Metro,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
Metro,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
A pe,35.316646,B2
Metro,35.316646,B2
Outros,1.0,B2
Outros,1.0,B2
A pe,93.325779,B2
A pe,93.325779,B2
A pe,93.325779,B2
A pe,93.325779,B2
Onibus,92.01313,B2
Onibus,92.01313,B2
Metro,57.927354,B2
Carro,57.927354,B2
Metro,93.325779,B2
Metro,93.325779,B2
Metro,84.5749,B2
Metro,84.5749,B2
Metro,84.5749,B2
Metro,84.5749,B2
Outros,1.0,C1
Outros,1.0,C1
Carro,28.032207,B2
Carro,28.032207,B2
Carro,28.032207,B2
Carro,28.032207,B2
Metro,45.162214,B2
Metro,45.162214,B2
Metro,45.162214,B2
