"","data","volume","chuva","temp.max","diff","x","y","z","medMov.chuva","medMov.diff","medMov.temp"
"1182",2020-03-27,630.78784,0.1,28,0.107030000000009,0.177685213539302,0.00139275766016713,27.52,4.66,1.34786199999999,28.4666666666667
"1183",2020-03-28,630.21083,0,29,-0.577009999999973,0.13562300692756,0,28.52,4.66,1.287712,28.2
"1184",2020-03-29,629.96328,0,28,-0.247549999999933,0.155881785055018,0,27.52,4.66,1.22408,28
"1185",2020-03-30,631.07015,11.6,28,1.10686999999996,0.239166233156112,0.161559888579387,27.52,5.03333333333333,1.258176,27.7333333333333
"1186",2020-03-31,632.22631,0.3,28,1.15616,0.242197117554531,0.00417827298050139,27.52,4.07333333333333,1.147572,27.5333333333333
"1187",2020-04-01,631.64499,0.1,28,-0.581320000000005,0.135357981328914,0.00139275766016713,27.52,2.96666666666667,0.928588666666671,27.4
"1188",2020-04-02,631.25828,0,31,-0.386709999999994,0.147324717234287,0,30.52,2.91333333333333,0.746330000000004,27.3333333333333
"1189",2020-04-03,631.05895,0,28,-0.199330000000032,0.158846874235204,0,27.52,2.91333333333333,0.655438666666669,27.2666666666667
"1190",2020-04-04,631.0716,0.5,27,0.0126500000000078,0.171881706346716,0.00696378830083566,26.52,2.00666666666667,0.504494,27.2
"1191",2020-04-05,630.76314,0,28,-0.308459999999968,0.152136376884849,0,27.52,0.846666666666665,0.172591333333336,27.5333333333333
"1192",2020-04-06,630.09344,0,31,-0.669700000000034,0.129923419285251,0,30.52,0.839999999999999,0.0146433333333334,27.8666666666667
"1193",2020-04-07,629.82734,0.3,26,-0.266099999999938,0.154741129636259,0.00417827298050139,25.52,0.859999999999999,-0.0944886666666662,27.8666666666667
"1194",2020-04-08,629.54261,0.1,20,-0.284730000000081,0.153595554948839,0.00139275766016713,19.52,0.866666666666665,-0.0971713333333355,27.5333333333333
"1195",2020-04-09,629.21929,0,24,-0.323319999999967,0.151222622732678,0,23.52,0.866666666666665,-0.113075333333336,27.4
"1196",2020-04-10,628.84512,0,24,-0.374170000000049,0.148095812595536,0,23.52,0.866666666666665,-0.122379333333333,27.2
"1197",2020-04-11,628.05408,0,23,-0.791039999999953,0.122462118556835,0,22.52,0.859999999999999,-0.182250666666664,26.8666666666667
"1198",2020-04-12,627.24273,0,23,-0.811349999999948,0.121213239227725,0,22.52,0.859999999999999,-0.197873333333329,26.4666666666667
"1199",2020-04-13,625.94915,0,26,-1.29358000000002,0.0915605027000605,0,25.52,0.859999999999999,-0.267608666666668,26.3333333333333
"1200",2020-04-14,625.11036,0,23,-0.838790000000017,0.119525930079972,0,22.52,0.0866666666666654,-0.397319333333333,26
"1201",2020-04-15,623.9065,1.1,26,-1.20385999999996,0.0970774624936514,0.0153203342618384,25.52,0.139999999999999,-0.554653999999997,25.8666666666667
"1202",2020-04-16,623.35401,0,27,-0.552490000000034,0.137130762769495,0,26.52,0.133333333333332,-0.552731999999999,25.8
"1203",2020-04-17,622.3546,0,21,-0.999410000000012,0.109649268443258,0,20.52,0.133333333333332,-0.593578666666667,25.1333333333333
"1204",2020-04-18,621.26662,0,24,-1.08798000000002,0.104203023136547,0,23.52,0.133333333333332,-0.652821999999999,24.8666666666667
